 Date__(UT)__HR:MN, , ,            delta,     deldot,  Tru_Anom,
****************************************************************
$$SOE
 2022-Jan-05 10:00, , , 34.2157069236193,-10.8840633,  179.4016,
 2022-Jan-05 11:00, , , 34.2154452471052,-10.8638707,  179.4016,
 2022-Jan-05 12:00, , , 34.2151840565895,-10.8436720,  179.4017,
 2022-Jan-05 13:00, , , 34.2149233522169,-10.8234673,  179.4017,
 2022-Jan-05 14:00, , , 34.2146631341310,-10.8032567,  179.4017,
 2022-Jan-05 15:00, , , 34.2144034024751,-10.7830401,  179.4018,
 2022-Jan-05 16:00, , , 34.2141441573920,-10.7628176,  179.4018,
 2022-Jan-05 17:00, , , 34.2138853990238,-10.7425893,  179.4018,
 2022-Jan-05 18:00, , , 34.2136271275121,-10.7223550,  179.4019,
 2022-Jan-05 19:00, , , 34.2133693429978,-10.7021149,  179.4019,
 2022-Jan-05 20:00, , , 34.2131120456215,-10.6818690,  179.4020,
 2022-Jan-05 21:00, , , 34.2128552355229,-10.6616172,  179.4020,
 2022-Jan-05 22:00, , , 34.2125989128416,-10.6413597,  179.4020,
 2022-Jan-05 23:00, , , 34.2123430777164,-10.6210965,  179.4021,
 2022-Jan-06 00:00, , , 34.2120877302854,-10.6008275,  179.4021,
 2022-Jan-06 01:00, , , 34.2118328706865,-10.5805527,  179.4021,
 2022-Jan-06 02:00, , , 34.2115784990569,-10.5602723,  179.4022,
 2022-Jan-06 03:00, , , 34.2113246155333,-10.5399863,  179.4022,
 2022-Jan-06 04:00, , , 34.2110712202519,-10.5196945,  179.4022,
 2022-Jan-06 05:00, , , 34.2108183133483,-10.4993972,  179.4023,
 2022-Jan-06 06:00, , , 34.2105658949577,-10.4790942,  179.4023,
 2022-Jan-06 07:00, , , 34.2103139652147,-10.4587857,  179.4023,
 2022-Jan-06 08:00, , , 34.2100625242534,-10.4384716,  179.4024,
 2022-Jan-06 09:00, , , 34.2098115722076,-10.4181519,  179.4024,
 2022-Jan-06 10:00, , , 34.2095611092102,-10.3978268,  179.4024,
 2022-Jan-06 11:00, , , 34.2093111353941,-10.3774961,  179.4025,
